txn_id,investor_id,amount,transaction_type,transaction_date,fund_name,trigger,nfo_participation,status
txn_0909346a,inv_30de461a,15000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_3210d39c,inv_30de461a,15000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_ebb6f285,inv_30de461a,15000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_625b01ed,inv_30de461a,15000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_9f549a3a,inv_65b940a6,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_18dda1a4,inv_4c6114b8,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_4799b32e,inv_4c6114b8,5000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_d31426d4,inv_4c6114b8,5000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_34ad890b,inv_54a0c251,2000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_7ea75fe2,inv_54a0c251,2000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_bbee73e1,inv_54a0c251,2000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Failed
txn_4fdf9a12,inv_54a0c251,2000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_ce462f35,inv_db971387,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_db0bd276,inv_db971387,10000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_68835556,inv_a080e75c,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_8d550e0b,inv_a080e75c,10000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_3d9c0092,inv_fa771594,1000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_cd4a00d0,inv_fa771594,1000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_7962db99,inv_4ad5e322,1000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_fe0fb8b1,inv_4ad5e322,1000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_323ba270,inv_4ad5e322,1000,SIP,2025-11-01,Axis Bluechip,Auto,False,Failed
txn_287e7682,inv_4ad5e322,1000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_a31abeeb,inv_4ad5e322,1000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_e79e24f2,inv_47fd2f8c,1000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_1e949848,inv_47fd2f8c,1000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_1979e452,inv_47fd2f8c,1000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_b2412a5c,inv_47fd2f8c,1000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_43c60483,inv_94ea23a6,1000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_357a4488,inv_94ea23a6,1000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_5cf073d7,inv_a15229e2,1000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_c5707e40,inv_a15229e2,1000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_89053b83,inv_79b38f83,15000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_a5a240e9,inv_79b38f83,15000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Failed
txn_96d24b2d,inv_79b38f83,15000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_3382fe24,inv_79b38f83,15000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_4196ca8d,inv_79b38f83,15000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_79055ff4,inv_b7588997,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_ead30309,inv_b7588997,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_094df985,inv_b7588997,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_a3bc5b9c,inv_b4fffd88,1000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_743392c1,inv_b4fffd88,1000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_7aede4a5,inv_b4fffd88,1000,SIP,2025-11-01,Axis Bluechip,Auto,False,Failed
txn_f3dc417d,inv_6b8406a6,10000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Failed
txn_a62e1e78,inv_6b8406a6,10000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_5fd61314,inv_6b8406a6,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_4120e4bf,inv_6b8406a6,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_b7c1b93c,inv_6b8406a6,10000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_95849c0a,inv_fe1024ed,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_3261195f,inv_fe1024ed,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_4a53ea48,inv_fe1024ed,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_dfaf5cd5,inv_fe1024ed,10000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_db87a485,inv_fe1024ed,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_0ff0f7b9,inv_3bab777a,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_84eea7f3,inv_3bab777a,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_2331fcf6,inv_3bab777a,5000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_75496ebb,inv_3bab777a,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_862b075a,inv_3bab777a,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_75b2f9db,inv_89ad182a,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_7b8dac64,inv_89ad182a,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_5e08b032,inv_89ad182a,10000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_e7b8bdec,inv_89ad182a,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_09889fe0,inv_4886b4c7,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_0e2bd681,inv_4886b4c7,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_45a3fc2f,inv_4886b4c7,5000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_b7400fb5,inv_4886b4c7,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_64e4c5e9,inv_4886b4c7,5000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_5fed3fae,inv_08aa60f5,30000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_dd9d7a33,inv_8d1d34ad,10000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_a19ff64f,inv_8d1d34ad,10000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_63832d2a,inv_8d1d34ad,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_ee9803f6,inv_8d1d34ad,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_373a09b3,inv_8d1d34ad,10000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_62087675,inv_f87f40d8,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_84469007,inv_f87f40d8,10000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_201055a8,inv_f87f40d8,10000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_91e53d41,inv_f87f40d8,10000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_bf86f402,inv_f87f40d8,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_6a16e4f8,inv_927f19b4,2000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_8e7666c4,inv_927f19b4,2000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_ba092759,inv_927f19b4,2000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_b1a33284,inv_6ecd8bc1,500,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_20964b58,inv_6ecd8bc1,500,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Failed
txn_2ed8c3af,inv_6ecd8bc1,500,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_a3a7fb83,inv_6ecd8bc1,500,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_25f6bdea,inv_98dd5af8,500,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_6b295e94,inv_98dd5af8,500,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_1bb04e1e,inv_efc7ffee,5000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_d49f1213,inv_efc7ffee,5000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_96dd9f18,inv_efc7ffee,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_fee322ea,inv_efc7ffee,5000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_531304d1,inv_d28a9719,10000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_843e3df9,inv_34a40901,15000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_daad9d2d,inv_34a40901,15000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_80aaf06c,inv_34a40901,15000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_36182420,inv_867d0d57,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_e186a7b2,inv_867d0d57,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_6d7010a7,inv_867d0d57,10000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_6732099a,inv_b22b2f87,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_a92f3fe1,inv_b22b2f87,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_eb304ec3,inv_b22b2f87,10000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_d7ba155b,inv_b22b2f87,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_68b68df1,inv_498f66df,1000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_1bd5cbb2,inv_498f66df,1000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Failed
txn_19bc83b2,inv_498f66df,1000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_13c8b848,inv_498f66df,1000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_9696f10e,inv_f35a3f93,5000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_ba7108ae,inv_f35a3f93,5000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_d5746492,inv_f35a3f93,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_bfdf2aaa,inv_de32d99f,2000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_eca4baec,inv_de32d99f,2000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_60e241b9,inv_ce440f13,10000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_370a262b,inv_ce440f13,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_6f78b94d,inv_ce440f13,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_d8a84d2f,inv_ce440f13,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_87cb2e9a,inv_dfe0c0bd,15000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_28f34b24,inv_dfe0c0bd,15000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_87676676,inv_fa7fac14,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_ad4a823e,inv_fa7fac14,5000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_fb7768ec,inv_fa7fac14,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_65d18825,inv_fa7fac14,5000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_5519cc9e,inv_fa7fac14,5000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Failed
txn_28c226c0,inv_f230e3b0,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_b72b74da,inv_f230e3b0,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_1dde805f,inv_f230e3b0,10000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_f9017908,inv_f230e3b0,10000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_9d794d55,inv_5847e8e6,15000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_3b413160,inv_0ab1bad5,30000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_3755271f,inv_0ab1bad5,30000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_8f658e21,inv_d9d30e48,10000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_123ff0fb,inv_81738a54,1000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_9d0730bb,inv_81738a54,1000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_d39261c8,inv_81738a54,1000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_1518137e,inv_25f1e4e4,5000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_1f4b4651,inv_25f1e4e4,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_6edb1c68,inv_ed58c1cc,1000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_3460d074,inv_ed58c1cc,1000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_75fe645c,inv_ed58c1cc,1000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_d86c43cf,inv_ed58c1cc,1000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_76a07f9f,inv_ab0f8e5f,10000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_5bf6866f,inv_ab0f8e5f,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_c6271804,inv_ab0f8e5f,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_d37fc636,inv_ab0f8e5f,10000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_7fc61362,inv_901e139e,1000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_adab3fcf,inv_9a69c771,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_9c3b5dfd,inv_9a69c771,5000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_6790e8b9,inv_9a69c771,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_9929a370,inv_3ccf097a,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_e2c91ef3,inv_3ccf097a,10000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Failed
txn_1dab1fd0,inv_3ccf097a,10000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_c597325f,inv_63314c3d,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_2f20d160,inv_63314c3d,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_a708e9d4,inv_63314c3d,5000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_f1ebe0f9,inv_f88dcd35,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_d4144b45,inv_f88dcd35,5000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_c0dbaffa,inv_f88dcd35,5000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_aadd3e63,inv_f88dcd35,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_e5a87502,inv_77bffe47,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_9eb5a0d9,inv_77bffe47,5000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_92793511,inv_e709552f,500,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Failed
txn_cbf0c673,inv_e709552f,500,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_ca37b458,inv_e709552f,500,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_72d45f5d,inv_e709552f,500,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_7f05ed39,inv_e19bd0ee,5000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_6e26cca1,inv_e19bd0ee,5000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_a9388533,inv_e19bd0ee,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_8ff4b8ab,inv_34d7fe4e,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_1ac75960,inv_34d7fe4e,5000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_cb4df465,inv_34d7fe4e,5000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_e022a3b0,inv_563df40f,15000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_a1c5ea2d,inv_563df40f,15000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_80519850,inv_563df40f,15000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_b6d397c1,inv_563df40f,15000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_152ca542,inv_cf831da5,30000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_ae744d31,inv_cf831da5,30000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_b88b85d3,inv_cf831da5,30000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_d432544e,inv_cf831da5,30000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_ce67e51d,inv_cf831da5,30000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_f11ffb25,inv_f1bff13e,2000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_1bd584c1,inv_f1bff13e,2000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_c9df5b5f,inv_f1bff13e,2000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_0b23e58d,inv_f1bff13e,2000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_3fb40ec7,inv_38e18de1,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_922d1b22,inv_38e18de1,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_6a3d316c,inv_458b1e3b,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_e45b48e7,inv_458b1e3b,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_30af647d,inv_458b1e3b,5000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_4b383ae9,inv_458b1e3b,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_003fadce,inv_2ff75039,2000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_ce8395f6,inv_2ff75039,2000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_ac2f6362,inv_2ff75039,2000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_1e3dcfe6,inv_2ff75039,2000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_7a69598b,inv_64467ac1,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_da35f61e,inv_64467ac1,5000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_97c236af,inv_64467ac1,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_87f51d04,inv_9942a680,2000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_c72ef26f,inv_9942a680,2000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_bb3c62c9,inv_11620ef0,10000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_ef0f5920,inv_11620ef0,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_d36550b9,inv_11620ef0,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_b4eae4d5,inv_3123803b,10000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_5dcfb16d,inv_98d0feb3,5000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_d9f4d453,inv_98d0feb3,5000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_7d1fab3a,inv_98d0feb3,5000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_72bfc15a,inv_98d0feb3,5000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_1e027d43,inv_98d0feb3,5000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_b3644db8,inv_4b6461e4,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_f2351896,inv_4b6461e4,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_0e8ee072,inv_4b6461e4,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_17be83aa,inv_cc8eab3a,30000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_eec8a029,inv_cc8eab3a,30000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_2badd787,inv_cc8eab3a,30000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_b2f7accb,inv_cc8eab3a,30000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_319545a9,inv_cc8eab3a,30000,SIP,2025-11-01,Parag Parikh Flexi Cap,Auto,False,Success
txn_5d41bffa,inv_cf1652a8,1000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_fcdf4f09,inv_cf1652a8,1000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_9133d871,inv_cf1652a8,1000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_5273d2c1,inv_cf1652a8,1000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_49425dd8,inv_56411cc3,1000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_2264da86,inv_56411cc3,1000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_9560fd24,inv_56411cc3,1000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_3351168e,inv_56411cc3,1000,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_e09419cc,inv_56411cc3,1000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_007367b5,inv_c0a17187,30000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_d83bdbde,inv_af6198db,500,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_01c98939,inv_af6198db,500,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_6bbb0436,inv_af6198db,500,SIP,2025-11-01,Axis Bluechip,Auto,False,Failed
txn_7f6f0019,inv_af6198db,500,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_8001c48a,inv_1a53230d,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_6a0a1883,inv_e1bdb10b,5000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_7ab41b22,inv_e1bdb10b,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_5e8b1d15,inv_3064136a,500,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_bdb310fa,inv_3064136a,500,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_43d0c449,inv_3064136a,500,SIP,2025-11-01,Kotak Liquid Fund,Auto,False,Success
txn_2b71ef67,inv_3064136a,500,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_d053826d,inv_3064136a,500,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_28dca1b5,inv_eec997c9,10000,SIP,2025-11-01,Nippon India Small Cap,Auto,False,Success
txn_0cc2323f,inv_eec997c9,10000,SIP,2025-11-01,SBI Small Cap,Auto,False,Success
txn_2b19c3a1,inv_eec997c9,10000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_13140467,inv_eec997c9,10000,SIP,2025-11-01,HDFC Flexi Cap,Auto,False,Success
txn_4b6b0506,inv_eec997c9,10000,SIP,2025-11-01,HDFC Balanced Advantage,Auto,False,Success
txn_95cf0f3c,inv_237cd817,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
txn_0b3204ab,inv_237cd817,5000,SIP,2025-11-01,SBI Magnum Gilt,Auto,False,Success
txn_837405a7,inv_237cd817,5000,SIP,2025-11-01,Axis Bluechip,Auto,False,Success
